100; Lithuania;2789533; 94,96643; 69,33824
102; Latvia;1926542; 98,416855; 69,54833
104; Estonia;1320884; 100,17058; 76,65432
106; Italy;60431283; 100,18543; 61,776505
108; Hungary;9768785; 98,622856; 64,5052
110; Slovakia;5447011; 99,88486; 39,19667
112; Austria;8847037; 98,828575; 60,20929
114; Switzerland;8516543; 100,25714; 67,451096
116; Greece;10727668; 99,18857; 57,17018
118; Serbia;6982084;82118; 58,6178
120; Bosnia;3323929; 95,16071; 56,96711
122; Slovenia;2067372; 99,93714; 70,5644
124; Belgium;11422068; 80,6; 47,83629
126; Netherlands;17231017;100396; 66,54009
128; Brazil;209469333; 69,524574; 61,8096
130; Bolivia;11353142; 35,9573822; 58,052032
132; Paraguay;6956071; 63,57596; 64,36092
134; Argentina;44494502; 20,314285; 60,22935
136; Uruguay;3449299; 61,477142; 74,22434
138; Chile;18729160; 64,190575; 68,42592
140; Peru;31989256; 61,923096; 68,31311
142; Ecuador;17084357; 86,00762; 61,81172
144; Colombia;49648685; 59,77643;64374
146; Venesuala;28870195; 75,55571; 55,4385
148; Guyana;779004; 80,03905; 57,156296
150; Suriname;575991; 91,01785; 57,50791
152; French Guyana;1874309; 90,25929; 31,36291
154; Mexico;126190788; 67,14953; 61,635963
156; United States;327167434; 100,371422; 41,28595
158; Canada;37058856; 99,152145; 63,331287
160; Greenland;56025; 99,24286; 65,67629
162; Iceland;353574; 99,34286; 69,93449
164; Guatemala;17247807; 51,05238; 57,146957
166; Honduras;9587522; 55,067432; 60,536095
168; Nicaragua;6465513; 35,25114; 57,311222
170; Costa Rica;4999441; 77,31999; 68,65352
172; Panama;4176873; 53,815147; 63,357525
